0,1
자__04,IC
2,SN
주__26,NNB
차__03,NNB
2,SN
차__03,NNB
시__10,NNB
강의__020000,NNG
시작하__010001,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
2,SN
차__03,NNB
강의__020000,NNG
의,JKG
주제__040001,NNG
는,JX
모음__020000,NNG
(,SS
단모음,NNG
),SS
과,JC
자음__010000,NNG
(,SS
평음,NNG
),SS
이,VCP
ㄴ데,EC
우리__03,NP
가,JKS
1,SN
차__03,NNB
시__10,NNB
에서,JKB
단모음,NNG
은,JX
공부하,VV
였,EP
고,EC
오늘__000101,NNG
2,SN
차__03,NNB
시__10,NNB
에서,JKB
는,JX
자음__010000,NNG
(,SS
평음,NNG
),SS
에,JKB
대하__020003,VV
여서,EC
공부하,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
2,SN
차__03,NNB
시__10,NNB
주제__040001,NNG
자음__010000,NNG
(,SS
평음,NNG
),SS
이,VCP
ㅂ니다,EF
.,SF
자__04,IC
학습__000001,NNG
목표__000001,NNG
는,JX
우리__03,NP
가,JKS
이제__01,MAG
2,SN
차__03,NNB
시__10,NNB
에서,JKB
공부하,VV
게,EC
되__010401,VV
는,ETM
자음__010000,NNG
중__04,NNB
에,JKB
이__05,MM
자음__010000,NNG
중__04,NNB
에,JKB
전문적,NNG
으로,JKB
이야기하__000101,VV
면,EC
그__01,MM
장애음,NNG
에,JKB
대하__020003,VV
ㄴ,ETM
공부__010000,NNG
를,JKO
하__010101,VV
ㄴ다고,EC
하__010101,VV
ㄹ,ETM
수__02,NNB
가,JKS
있__010305,VA
습니다,EF
.,SF
장애음,NNG
이,VCP
라는,ETM
말__010004,NNG
은,JX
한국어,NNP
자음__010000,NNG
중__04,NNB
에,JKB
비음__070001,NNG
이랑,JC
유음__080002,NNG
을,JKO
제외하,VV
ㄴ,ETM
우리__03,NP
가,JKS
소리__010001,NNG
를,JKO
내__020303,VV
ㄹ,ETM
때__010001,NNG
어떤,MM
장애__020002,NNG
를,JKO
받__010103,VV
는,ETM
그러하__000001,VA
ㄴ,ETM
음__040002,NNG
이,VCP
죠,EF
.,SF
그런__01,MM
음__070003,NNG
중__04,NNB
에,JKB
평음,NNG
우리__03,NP
가,JKS
이것,NP
ㄹ,JKO
예사소리,NNG
이,VCP
라고,EC
보통,MAG
하__010101,VV
죠,EF
.,SF
보통__000100,NNG
소리__010001,NNG
평음,NNG
을,JKO
발음하__010000,VV
는,ETM
방법__000001,NNG
을,JKO
알__000101,VV
고,EC
여러분,NP
이,JKS
발음하__010000,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
으면,EC
되__010401,VV
겠,EP
습니다,EF
.,SF
자__04,IC
오늘__000101,NNG
배우__010001,VV
ㄹ,ETM
장애음,NNG
평음,NNG
은,JX
브,NNG
",",SP
드,NNP
",",SP
즈__03,NP
",",SP
그__01,MM
",",SP
스,NNG
이,VCP
ㅂ니다,EF
.,SF
사실__040001,NNG
은,JX
제__01,NP
가,JKS
자음__010000,NNG
을,JKO
발음하__010000,VV
였,EP
는데,EC
요,JX
사실__040001,NNG
은,JX
자음하,VV
고,EC
모음__020000,NNG
을,JKO
같이,MAG
발음__010000,NNG
하__010101,VV
ㄴ,ETM
것__01,NNB
이,VCP
에요,EF
.,SF
왜__02,MAG
이,VCP
냐면,EC
한국어,NNG
에서,JKB
는,JX
자음__010000,NNG
만,JX
을,JKO
발음하__010000,VV
ㄹ,ETM
수__02,NNB
가,JKS
없__010106,VA
어요,EF
.,SF
그래서,MAJ
슬쩍,MAG
발음하__010000,VV
였,EP
지만,EC
제__01,NP
가,JKS
여러분,NP
이,JKS
전차__100000,NNG
시__130002,NNG
에서,JKB
배우__010001,VV
ㄴ,ETM
‘,SS
으,EF
’,SS
이,VCP
라는,ETM
모음__020000,NNG
을,JKO
슬쩍,MAG
붙이__000101,VV
어서,EC
발음__010000,NNG
하__010101,VV
ㄴ,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
그래서,MAJ
브,NNG
",",SP
드,NNP
",",SP
즈__03,NP
",",SP
그__01,MM
",",SP
스,NNG
이렇,VA
게,EC
발음__010000,NNG
을,JKO
하__010101,VV
ㄴ,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
우선__02,MAG
첫,MM
